Account Number,Account Status,Account Type,Amount,Balance,Branch,Account Number,Channel,City,Closing Date,Country,Credit Score,Currency,Customer Name,Device Type,EMI,Fraud Flag,IFSC Code,Interest Rate,Count of Loan ID,Loan Type,Manager Name,Year,Quarter,Month,Payment Mode,Risk Level,State,Tenure,Year,Quarter,Month,Day,Count of Transaction ID,Transaction Type
500076,Active,Current,0,,City branch,500076,Branch, Bengaluru,0,India,720,INR,Arun Kumar,Mobile,5000,N,HDFC0005678,7.5,1,CarLoan, Ms. Iyer,2024,Qtr 4,October,UPI,Low,MH,0,2018,Qtr 3,August,14,1,Debit
500240,Active,Current,0,,City branch,500240,ATM, Bengaluru,0,India,0,INR,NA,NA,0,N,HDFC0005678,7.5,1,Home Loan, Ms. Iyer,2019,Qtr 1,January,UPI,Medium,KA,60,2018,Qtr 2,May,24,1,Debit
500306,Active,Current,0,,City branch,500306,ATM, Bengaluru,11/06/2024,India,0,INR,Sneha Patel,NA,0,Y,SBIN0001234,0,1,Home Loan,Mr. Verma,2019,Qtr 1,January,Card,HIGH,KA,0,2020,Qtr 4,December,14,1,Credit
500346,Active,Current,0,,City branch,500346,ATM,Chennai,0,India,720,INR,Arun Kumar,NA,5000,Y,HDFC0005678,7.5,1,Personal Loan, Ms. Iyer,2020,Qtr 2,May,NA,Low,KA,120,2019,Qtr 3,August,22,1,Debit
500394,Active,Current,0,,City branch,500394,Branch,Chennai,0,India,720,INR,Arun Kumar,NA,5000,Y,HDFC0005678,7.5,1,Personal Loan,Mr. Verma,2021,Qtr 1,March,Card,Low,TN,0,2024,Qtr 2,April,29,1,Debit
500460,Active,Current,0,,City branch,500460,NetBanking,Chennai,11/06/2024,India,0,INR,Sneha Patel,Desktop,0,Y,HDFC0005678,0,1,Home Loan,Mr. Verma,2023,Qtr 1,January,NA,Medium,MH,0,2021,Qtr 4,November,7,1,Debit
500558,Active,Current,0,,City branch,500558,Branch, Bengaluru,11/06/2024,India,650,INR,  Ramesh Rao,NA,5000,N,HDFC0005678,0,1,Home Loan,Mr. Verma,2020,Qtr 3,September,Card,Medium,MH,120,2024,Qtr 1,February,4,1,Debit
500839,Active,Current,0,,City branch,500839,Branch, Bengaluru,11/06/2024,India,0,INR,  Ramesh Rao,Mobile,0,Y,HDFC0005678,7.5,1,Home Loan, Ms. Iyer,2021,Qtr 4,December,Cash,Medium,MH,60,2019,Qtr 2,April,21,1,Debit
501092,Active,Current,0,,City branch,501092,NetBanking,Chennai,0,India,650,INR,  Ramesh Rao,Mobile,0,Y,HDFC0005678,7.5,1,Home Loan, Ms. Iyer,2023,Qtr 2,June,NA,HIGH,KA,120,2020,Qtr 3,August,23,1,Debit
501116,Active,Current,0,,City branch,501116,Branch, Bengaluru,11/06/2024,India,720,INR,NA,NA,12000,N,SBIN0001234,0,1,Personal Loan, Ms. Iyer,2022,Qtr 3,July,NA,Low,MH,120,2019,Qtr 3,August,28,1,Debit
501117,Active,Current,0,,City branch,501117,ATM,Chennai,11/06/2024,India,0,INR,Sneha Patel,Mobile,0,Y,HDFC0005678,7.5,1,Home Loan, Ms. Iyer,2021,Qtr 4,December,Cash,Medium,KA,120,2024,Qtr 3,August,12,1,Debit
501241,Active,Current,0,,City branch,501241,NetBanking,Chennai,11/06/2024,India,650,INR,NA,NA,12000,Y,SBIN0001234,7.5,1,Personal Loan, Ms. Iyer,2024,Qtr 1,January,NA,HIGH,MH,120,2020,Qtr 2,April,29,1,Debit
501432,Active,Current,0,,City branch,501432,ATM, Bengaluru,0,India,0,INR,NA,Desktop,0,Y,HDFC0005678,0,1,Home Loan,Mr. Verma,2024,Qtr 2,June,NA,HIGH,TN,60,2020,Qtr 3,July,17,1,Credit
501614,Active,Current,0,,City branch,501614,ATM, Bengaluru,0,India,0,INR,NA,Mobile,5000,N,HDFC0005678,7.5,1,Home Loan,Mr. Verma,2023,Qtr 2,April,Cash,Low,KA,60,2019,Qtr 3,September,26,1,Credit
501619,Active,Current,0,,City branch,501619,Branch, Bengaluru,0,India,0,INR,NA,NA,0,N,SBIN0001234,0,1,Home Loan, Ms. Iyer,2022,Qtr 3,August,NA,Low,TN,120,2022,Qtr 2,May,21,1,Credit
501716,Active,Current,0,,City branch,501716,Branch, Bengaluru,0,India,0,INR,Sneha Patel,NA,12000,Y,HDFC0005678,0,1,Home Loan, Ms. Iyer,2023,Qtr 1,January,NA,Medium,TN,60,2020,Qtr 1,March,7,1,Credit
501838,Active,Current,0,,City branch,501838,ATM, Bengaluru,11/06/2024,India,0,INR,Sneha Patel,NA,12000,N,SBIN0001234,0,1,CarLoan,Mr. Verma,2022,Qtr 2,June,Cash,Medium,TN,0,2022,Qtr 1,March,6,1,Credit
501859,Active,Current,0,,City branch,501859,ATM,Chennai,11/06/2024,India,0,INR,Sneha Patel,NA,0,N,HDFC0005678,7.5,1,Personal Loan, Ms. Iyer,2018,Qtr 1,March,UPI,HIGH,MH,0,2019,Qtr 2,June,5,1,Debit
501951,Active,Current,0,,City branch,501951,Branch, Bengaluru,0,India,0,INR,  Ramesh Rao,NA,0,N,HDFC0005678,0,1,Home Loan,Mr. Verma,2019,Qtr 2,May,UPI,Low,KA,60,2019,Qtr 1,January,4,1,Credit
501964,Active,Current,0,,City branch,501964,Branch,Chennai,0,India,0,INR,  Ramesh Rao,NA,5000,Y,SBIN0001234,0,1,Home Loan, Ms. Iyer,2023,Qtr 2,April,NA,Medium,KA,120,2022,Qtr 1,January,26,1,Credit
502144,Active,Current,0,,City branch,502144,NetBanking, Bengaluru,11/06/2024,India,650,INR,NA,NA,12000,Y,HDFC0005678,0,1,Home Loan, Ms. Iyer,2022,Qtr 3,September,UPI,Medium,TN,60,2019,Qtr 3,July,20,1,Credit
502160,Active,Current,0,,City branch,502160,NetBanking,Chennai,11/06/2024,India,0,INR,  Ramesh Rao,NA,5000,Y,HDFC0005678,7.5,1,Personal Loan,Mr. Verma,2022,Qtr 3,August,Card,Medium,KA,60,2019,Qtr 2,May,30,1,Debit
502220,Active,Current,0,,City branch,502220,NetBanking,Chennai,11/06/2024,India,0,INR,NA,Desktop,12000,Y,HDFC0005678,7.5,1,Home Loan,Mr. Verma,2019,Qtr 2,June,NA,HIGH,KA,0,2022,Qtr 3,August,3,1,Debit
502477,Active,Current,0,,City branch,502477,Branch, Bengaluru,11/06/2024,India,650,INR,NA,NA,5000,Y,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2020,Qtr 3,July,NA,Medium,TN,60,2022,Qtr 3,September,18,1,Credit
502612,Active,Current,0,,City branch,502612,NetBanking,Chennai,0,India,0,INR,Sneha Patel,Mobile,12000,N,SBIN0001234,7.5,1,Personal Loan,Mr. Verma,2021,Qtr 2,June,Card,Low,TN,120,2020,Qtr 3,August,27,1,Debit
502848,Active,Current,0,,City branch,502848,ATM, Bengaluru,0,India,720,INR,NA,NA,5000,N,SBIN0001234,7.5,1,Home Loan, Ms. Iyer,2022,Qtr 4,November,UPI,HIGH,KA,120,2022,Qtr 3,July,19,1,Debit
503245,Active,Current,0,,City branch,503245,ATM,Chennai,11/06/2024,India,650,INR,Arun Kumar,NA,12000,Y,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2019,Qtr 1,January,Cash,HIGH,MH,60,2021,Qtr 3,September,29,1,Credit
503700,Active,Current,0,,City branch,503700,Branch, Bengaluru,11/06/2024,India,650,INR,NA,NA,0,N,SBIN0001234,7.5,1,Personal Loan, Ms. Iyer,2020,Qtr 3,August,NA,Medium,TN,120,2024,Qtr 3,July,4,1,Debit
503786,Active,Current,0,,City branch,503786,NetBanking, Bengaluru,0,India,0,INR,NA,Mobile,12000,Y,HDFC0005678,0,1,Home Loan, Ms. Iyer,2024,Qtr 3,July,Cash,Low,TN,0,2018,Qtr 1,January,5,1,Credit
504131,Active,Current,0,,City branch,504131,Branch, Bengaluru,0,India,720,INR,Arun Kumar,Mobile,12000,Y,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2024,Qtr 1,January,UPI,Medium,KA,120,2021,Qtr 3,July,16,1,Credit
504256,Active,Current,0,,City branch,504256,Branch,Chennai,11/06/2024,India,0,INR,NA,Mobile,12000,N,HDFC0005678,7.5,1,Home Loan,Mr. Verma,2022,Qtr 2,June,NA,HIGH,KA,120,2022,Qtr 1,February,3,1,Debit
504318,Active,Current,0,,City branch,504318,Branch, Bengaluru,0,India,650,INR,Arun Kumar,Mobile,0,Y,HDFC0005678,0,1,Home Loan,Mr. Verma,2024,Qtr 2,May,NA,HIGH,MH,60,2021,Qtr 3,July,27,1,Debit
504545,Active,Current,0,,City branch,504545,NetBanking, Bengaluru,11/06/2024,India,720,INR,NA,Mobile,5000,Y,SBIN0001234,0,1,Home Loan, Ms. Iyer,2019,Qtr 1,February,UPI,HIGH,MH,60,2022,Qtr 4,December,8,1,Debit
504679,Active,Current,0,,City branch,504679,NetBanking,Chennai,11/06/2024,India,650,INR,Arun Kumar,NA,5000,Y,HDFC0005678,0,1,CarLoan,Mr. Verma,2023,Qtr 4,December,NA,HIGH,KA,0,2020,Qtr 1,February,12,1,Credit
505425,Active,Current,0,,City branch,505425,Branch, Bengaluru,11/06/2024,India,650,INR,NA,NA,0,Y,SBIN0001234,7.5,1,CarLoan,Mr. Verma,2018,Qtr 1,February,Card,Medium,MH,60,2019,Qtr 1,February,9,1,Debit
505507,Active,Current,0,,City branch,505507,Branch, Bengaluru,11/06/2024,India,650,INR,Arun Kumar,NA,0,Y,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2023,Qtr 2,April,NA,Low,MH,120,2018,Qtr 1,February,14,1,Debit
